0,wrd_length,total_char,syl_count,syl_sum,sentiment
'I heard the Queen say only yesterday you deserved to be beheaded!',"[2, 5, 3, 5, 3, 4, 9, 3, 8, 2, 2, 8]",54,[1 2 1 1 1 2 3 1 2 1 1 3],19,0.0
'What for?',"[5, 3]",8,[1 1],2,0.0
said the one who had spoken first.,"[4, 3, 3, 3, 3, 6, 5]",27,[1 1 1 1 1 2 1],8,0.25
"'That's none of YOUR business, Two!'","[5, 2, 4, 2, 4, 8, 3]",28,[1 0 1 1 1 3 1],8,0.0
said Seven.,"[4, 5]",9,[1 2],3,0.0
"'Yes, it IS his business!'","[4, 2, 2, 3, 8]",19,[0 1 1 1 3],6,0.0
"said Five, 'and I'll tell him--it was for bringing the cook tulip-roots instead of onions.'","[4, 4, 4, 1, 3, 4, 3, 2, 3, 3, 8, 3, 4, 11, 7, 2, 6]",72,[1 1 1 1 0 1 1 1 1 1 2 1 1 3 3 1 2],22,0.0
"Seven flung down his brush, and had just begun 'Well, of all the unjust things--' when his eye chanced to fall upon Alice, as she stood watching them, and he checked himself suddenly: the others looked round also, and all of them bowed low.","[5, 5, 4, 3, 5, 3, 3, 4, 5, 5, 2, 3, 3, 6, 6, 4, 3, 3, 7, 2, 4, 4, 5, 2, 3, 5, 8, 4, 3, 2, 7, 7, 8, 3, 6, 6, 5, 4, 3, 3, 2, 4, 5, 3]",187,"[2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 0 1 1 1 2 2 1 0 1 2 1 1 1 1 2 3 1 2 1 1
 2 1 1 1 1 1 1]",53,-0.0888888888889
"'Would you tell me,' said Alice, a little timidly, 'why you are painting those roses?'","[6, 3, 4, 2, 4, 5, 1, 6, 7, 4, 3, 3, 8, 5, 5]",66,[1 1 1 1 1 2 1 1 3 1 1 1 2 1 1],19,-0.1875
"Five and Seven said nothing, but looked at Two.","[4, 3, 5, 4, 7, 3, 6, 2, 3]",37,[1 1 2 1 2 1 1 1 1],11,0.0
"Two began in a low voice, 'Why the fact is, you see, Miss, this here ought to have been a RED rose-tree, and we put a white one in by mistake; and if the Queen was to find it out, we should all have our heads cut off, you know.","[3, 5, 2, 1, 3, 5, 4, 3, 4, 2, 3, 3, 4, 4, 4, 5, 2, 4, 4, 1, 3, 9, 3, 2, 3, 1, 5, 3, 2, 2, 7, 3, 2, 3, 5, 3, 2, 4, 2, 3, 2, 6, 3, 4, 3, 5, 3, 3, 3, 4]",169,"[1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 2 1 1 1 1]",54,0.0
"So you see, Miss, we're doing our best, afore she comes, to--' At this moment Five, who had been anxiously looking across the garden, called out 'The Queen!","[2, 3, 3, 4, 2, 3, 5, 3, 4, 5, 3, 5, 2, 2, 4, 6, 4, 3, 3, 4, 9, 7, 6, 3, 6, 6, 3, 4, 5]",119,[1 1 1 1 1 0 1 1 1 2 0 1 1 1 1 2 1 1 1 1 3 2 2 1 2 1 1 0 1],33,0.34375
The Queen!',"[3, 5]",8,[1 1],2,0.0
and the three gardeners instantly threw themselves flat upon their faces.,"[3, 3, 5, 9, 9, 5, 10, 4, 4, 5, 5]",62,[1 1 1 3 3 1 2 1 2 1 1],17,-0.0125
"There was a sound of many footsteps, and Alice looked round, eager to see the Queen.","[5, 3, 1, 5, 2, 4, 9, 3, 5, 6, 5, 5, 2, 3, 3, 5]",66,[1 1 1 1 1 2 2 1 2 1 1 3 1 1 1 1],21,0.233333333333
"First came ten soldiers carrying clubs; these were all shaped like the three gardeners, oblong and flat, with their hands and feet at the corners: next the ten courtiers; these were ornamented all over with diamonds, and walked two and two, as the soldiers did.","[5, 4, 3, 8, 8, 5, 5, 4, 3, 6, 4, 3, 5, 9, 6, 3, 4, 4, 5, 5, 3, 4, 2, 3, 7, 4, 3, 3, 9, 5, 4, 10, 3, 4, 4, 8, 3, 6, 3, 3, 3, 2, 3, 8, 3]",209,"[1 1 1 3 2 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 3 1 2 1 3 1
 1 1 1 1 1 1 3 1]",61,0.045
"After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts.","[5, 5, 4, 3, 5, 8, 5, 4, 3, 2, 4, 3, 3, 6, 5, 4, 7, 7, 5, 4, 2, 4, 2, 7, 4, 4, 3, 10, 4, 6]",138,[2 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1 2 3 2 1 1 1 1 1 1 1 1 3 1 2],41,-0.09375
"Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit: it was talking in a hurried nervous manner, smiling at everything that was said, and went by without noticing her.","[4, 4, 3, 6, 6, 5, 3, 6, 3, 5, 4, 5, 10, 3, 5, 6, 2, 3, 7, 2, 1, 7, 7, 6, 7, 2, 10, 4, 3, 4, 3, 4, 2, 7, 8, 3]",170,[1 1 1 1 2 1 1 1 1 2 1 2 3 1 1 2 1 1 2 1 1 2 2 2 2 1 4 1 1 1 1 1 1 2 3 1],53,0.166666666667
"Then followed the Knave of Hearts, carrying the King's crown on a crimson velvet cushion; and, last of all this grand procession, came THE KING AND QUEEN OF HEARTS.","[4, 8, 3, 5, 2, 6, 8, 3, 4, 2, 5, 2, 1, 7, 6, 7, 3, 4, 2, 3, 4, 5, 10, 4, 3, 4, 3, 5, 2, 6]",131,[1 2 1 1 1 2 2 1 1 0 1 1 1 2 2 2 1 1 1 1 1 1 3 1 1 1 1 1 1 2],38,0.25
"Alice was rather doubtful whether she ought not to lie down on her face like the three gardeners, but she could not remember ever having heard of such a rule at processions; 'and besides, what would be the use of a procession,' thought she, 'if people had all to lie down upon their faces, so that they couldn't see it?'","[5, 3, 6, 8, 7, 3, 5, 3, 2, 3, 4, 2, 3, 4, 4, 3, 5, 9, 3, 3, 5, 3, 8, 4, 6, 5, 2, 4, 1, 4, 2, 11, 4, 7, 4, 5, 2, 3, 3, 2, 1, 10, 7, 3, 3, 6, 3, 3, 2, 3, 4, 4, 5, 5, 2, 4, 4, 5, 3, 3, 2]",252,"[2 1 2 2 2 0 1 1 1 1 1 1 1 1 1 1 1 3 1 0 1 1 3 2 2 2 1 1 1 1 1 3 1 2 1 1 1
 1 1 1 1 3 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1]",74,-0.277777777778
"So she stood still where she was, and waited.","[2, 3, 5, 5, 5, 3, 3, 3, 6]",35,[1 0 1 1 1 0 1 1 1],7,0.0
"When the procession came opposite to Alice, they all stopped and looked at her, and the Queen said severely 'Who is this?'","[4, 3, 10, 4, 8, 2, 5, 4, 3, 7, 3, 6, 2, 3, 3, 3, 5, 4, 8, 4, 2, 4]",97,[1 1 3 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1],30,0.0
"She said it to the Knave of Hearts, who only bowed and smiled in reply.","[3, 4, 2, 2, 3, 5, 2, 6, 3, 4, 5, 3, 6, 2, 5]",55,[0 1 1 1 1 1 1 2 1 2 1 1 1 1 2],17,0.3
'Idiot!',[6],6,[2],2,-1.0
"said the Queen, tossing her head impatiently; and, turning to Alice, she went on, 'What's your name, child?'","[4, 3, 5, 7, 3, 4, 11, 3, 7, 2, 5, 3, 4, 2, 5, 2, 4, 4, 5]",83,[1 1 1 2 1 2 5 1 2 1 2 0 1 1 1 0 1 1 1],25,-0.2
"'My name is Alice, so please your Majesty,' said Alice very politely; but she added, to herself, 'Why, they're only a pack of cards, after all.","[3, 4, 2, 5, 2, 6, 4, 7, 4, 5, 4, 8, 3, 3, 5, 2, 7, 4, 4, 3, 4, 1, 4, 2, 5, 5, 3]",109,[1 1 1 2 1 2 1 3 1 2 2 4 1 0 1 1 2 1 1 0 2 1 1 1 1 2 1],37,0.1
I needn't be afraid of them!',"[1, 4, 3, 2, 6, 2, 4]",22,[1 0 0 1 2 1 1],6,-0.75
'And who are THESE?',"[4, 3, 3, 5]",15,[1 1 1 1],4,0.0
"said the Queen, pointing to the three gardeners who were lying round the rosetree; for, you see, as they were lying on their faces, and the pattern on their backs was the same as the rest of the pack, she could not tell whether they were gardeners, or soldiers, or courtiers, or three of her own children.","[4, 3, 5, 8, 2, 3, 5, 9, 3, 4, 5, 5, 3, 8, 3, 3, 3, 2, 4, 4, 5, 2, 5, 5, 3, 3, 7, 2, 5, 5, 3, 3, 4, 2, 3, 4, 2, 3, 4, 3, 5, 3, 4, 7, 4, 4, 9, 2, 8, 2, 9, 2, 5, 2, 3, 3, 8]",239,"[1 1 1 2 1 1 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 2 1 1 3 1 3 1 3 1 1 1 1 1 2]",70,0.133333333333
'How should I know?',"[4, 6, 1, 4]",15,[1 1 1 1],4,0.0
"said Alice, surprised at her own courage.","[4, 5, 9, 2, 3, 3, 7]",33,[1 2 2 1 1 1 2],10,0.35
'It's no business of MINE.',"[3, 2, 2, 8, 2, 4]",21,[1 0 1 3 1 1],7,0.0
"The Queen turned crimson with fury, and, after glaring at her for a moment like a wild beast, screamed 'Off with her head!","[3, 5, 6, 7, 4, 4, 3, 5, 7, 2, 3, 3, 1, 6, 4, 1, 4, 5, 8, 4, 4, 3, 4]",96,[1 1 1 2 1 2 1 2 2 1 1 1 1 2 1 1 1 2 2 1 1 1 2],31,0.125
Off--'  'Nonsense!',"[3, 9]",12,[1 2],3,0.0
"said Alice, very loudly and decidedly, and the Queen was silent.","[4, 5, 4, 6, 3, 9, 3, 3, 5, 3, 6]",51,[1 2 2 2 1 4 1 1 1 1 2],18,0.065
"The King laid his hand upon her arm, and timidly said 'Consider, my dear: she is only a child!'","[3, 4, 4, 3, 4, 4, 3, 3, 3, 7, 4, 9, 2, 4, 3, 2, 4, 1, 5]",72,[1 1 1 1 1 2 1 1 1 3 1 3 1 2 0 1 2 1 1],25,0.0
"The Queen turned angrily away from him, and said to the Knave 'Turn them over!'","[3, 5, 6, 7, 4, 4, 3, 3, 4, 2, 3, 5, 5, 4, 4]",62,[1 1 1 3 2 1 1 1 1 1 1 1 1 1 2],19,-0.625
"The Knave did so, very carefully, with one foot.","[3, 5, 3, 2, 4, 9, 4, 3, 4]",37,[1 1 1 1 2 4 1 1 1],13,-0.13
'Get up!',"[4, 2]",6,[1 1],2,0.0
"said the Queen, in a shrill, loud voice, and the three gardeners instantly jumped up, and began bowing to the King, the Queen, the royal children, and everybody else.","[4, 3, 5, 2, 1, 6, 4, 5, 3, 3, 5, 9, 9, 6, 2, 3, 5, 6, 2, 3, 4, 3, 5, 3, 5, 8, 3, 9, 4]",130,[1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 2 2 1 1 1 1 1 1 2 2 1 5 1],41,-0.1
'Leave off that!',"[6, 3, 4]",13,[2 1 1],4,0.0
screamed the Queen.,"[8, 3, 5]",16,[2 1 1],4,0.0
'You make me giddy.',"[4, 4, 2, 5]",15,[1 1 1 2],5,0.0
"And then, turning to the rose-tree, she went on, 'What HAVE you been doing here?'","[3, 4, 7, 2, 3, 9, 3, 4, 2, 5, 4, 3, 4, 5, 4]",62,[1 1 2 1 1 3 0 1 1 1 1 1 1 1 1],17,0.0
"'May it please your Majesty,' said Two, in a very humble tone, going down on one knee as he spoke, 'we were trying--'  'I see!'","[4, 2, 6, 4, 7, 4, 3, 2, 1, 4, 6, 4, 5, 4, 2, 3, 4, 2, 2, 5, 3, 4, 6, 2, 3]",92,[1 1 2 1 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1],28,-0.227222222222
